,id,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,facades_number,swimming_pool_has,building_state_agg
57,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/9073741,1190,False,apartment,440000.0,4,182.0,False,False,False,False,,False,,,,False,
58,https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/9073729,4040,False,apartment,199000.0,1,69.0,True,False,False,True,5.0,False,,,,False,
59,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-st-jean/1080/9073724,1080,False,apartment,220000.0,3,85.0,True,False,False,True,,False,,,,False,
60,https://www.immoweb.be/en/classified/house/for-sale/koekelare/8680/8978234,8680,True,house,199000.0,5,,True,False,False,True,,False,,,,False,
61,https://www.immoweb.be/en/classified/house/for-sale/st-gilles/1060/9073776,1060,True,house,569000.0,6,200.0,True,False,False,True,5.0,False,,,,False,
62,https://www.immoweb.be/en/classified/villa/for-sale/wachtebeke/9185/8998871,9185,True,villa,479000.0,4,259.0,True,False,False,True,45.0,True,806,,,True,
63,https://www.immoweb.be/en/classified/house/for-sale/jumet-(charleroi)/6040/9073773,6040,True,house,95000.0,2,58.0,True,False,False,False,,False,,,,False,
64,https://www.immoweb.be/en/classified/house/for-sale/beauraing/5570/9073772,5570,True,house,279000.0,5,288.0,True,False,False,False,,False,,,,True,
65,https://www.immoweb.be/en/classified/house/for-sale/waha/6900/9073771,6900,True,house,160000.0,5,265.0,True,False,False,False,,False,,,,False,
66,https://www.immoweb.be/en/classified/apartment-block/for-sale/jemelle/5580/9073770,5580,True,apartment-block,199000.0,1,145.0,True,False,False,True,20.0,True,,,,False,
67,https://www.immoweb.be/en/classified/apartment-block/for-sale/cerfontaine/5630/9073769,5630,True,apartment-block,260000.0,5,400.0,True,False,False,False,,True,,,,False,
68,https://www.immoweb.be/en/classified/house/for-sale/scherpenheuvel/3270/9073760,3270,True,house,269000.0,3,160.0,True,False,False,False,,True,,,,False,
69,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/9073759,9600,True,house,145000.0,3,,True,False,False,False,,False,,,,False,
70,https://www.immoweb.be/en/classified/house/for-sale/st-gillis-waas/9170/9073747,9170,True,house,289000.0,2,,False,False,False,False,,False,,,,False,
71,https://www.immoweb.be/en/classified/house/for-sale/lier/2500/9073743,2500,True,house,188000.0,3,,False,False,False,True,,False,,,,False,
72,https://www.immoweb.be/en/classified/house/for-sale/knokke/8300/9073742,8300,True,house,599000.0,2,108.0,True,False,False,True,,False,,,,False,
73,https://www.immoweb.be/en/classified/house/for-sale/couvin/5660/9073740,5660,True,house,149000.0,4,135.0,True,False,False,True,,True,70,,,False,
74,https://www.immoweb.be/en/classified/house/for-sale/lichtervelde/8810/8710852,8810,True,house,190000.0,3,120.0,False,False,False,True,,False,,,,False,
75,https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/9073735,8870,True,house,233500.0,3,,False,False,False,True,,False,,,,False,
76,https://www.immoweb.be/en/classified/house/for-sale/ruien/9690/9073733,9690,True,house,446594.0,4,296.0,False,False,False,False,,False,,,,False,
