,source,postcode,house_is,property_subtype,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,facades_number,price
1954,6,8400,HOUSE,HOUSE,4.0,5.713732805509369,True,False,False,False,0.0,False,0.0,6.633318433280377,False,F,to_renovate,3.0,375000.0
1955,6,1330,HOUSE,HOUSE,5.0,5.4638318050256105,True,False,False,True,3.295836866004329,True,5.0106352940962555,5.703782474656201,False,W,to_renovate,3.0,399000.0
1956,6,4400,HOUSE,HOUSE,4.0,5.0106352940962555,True,False,False,True,4.189654742026425,False,0.0,8.276394704863307,False,W,good,3.0,400000.0
1957,6,9999,HOUSE,HOUSE,6.0,5.327876168789581,False,False,True,False,0.0,True,5.159055299214529,5.855071922202427,False,F,good,3.0,415000.0
1958,6,9700,HOUSE,HOUSE,6.0,5.598421958998375,True,False,False,True,0.0,False,0.0,7.305188215393037,False,F,to_renovate,3.0,420000.0
1959,6,9999,HOUSE,HOUSE,5.0,5.786897381366708,True,False,False,True,0.0,False,0.0,7.23561914106675,False,F,good,3.0,429500.0
1960,6,2830,HOUSE,HOUSE,3.0,5.817111159963204,True,False,False,True,2.9444389791664403,False,0.0,5.583496308781699,False,F,to_renovate,3.0,430000.0
1961,6,9999,HOUSE,HOUSE,4.0,5.521460917862246,True,False,False,True,0.0,True,7.090076835776092,7.229113877793302,False,W,good,3.0,435000.0
1962,6,1932,HOUSE,HOUSE,3.0,5.017279836814924,True,False,False,True,2.70805020110221,True,4.31748811353631,5.442417710521793,False,F,good,3.0,450000.0
1963,6,1070,HOUSE,HOUSE,5.0,5.19295685089021,True,False,False,True,2.833213344056216,True,4.204692619390966,5.19295685089021,False,B,good,3.0,455000.0
1964,6,1180,HOUSE,HOUSE,3.0,5.220355825078324,True,False,False,True,2.302585092994046,True,4.248495242049359,5.135798437050262,False,B,to_renovate,3.0,539000.0
1965,6,9400,HOUSE,HOUSE,5.0,5.948034989180646,True,False,False,True,0.0,False,0.0,6.18826412308259,False,F,good,3.0,540000.0
1966,6,4900,HOUSE,EXCEPTIONAL_PROPERTY,11.0,6.163314804034641,True,False,False,True,0.0,True,7.24422751560335,7.341483852363161,False,W,good,4.0,550000.0
1967,6,9999,HOUSE,VILLA,4.0,5.783825182329737,True,False,False,True,4.8283137373023015,True,7.75491027202143,8.180320874773685,False,W,good,4.0,550000.0
1968,6,1150,HOUSE,HOUSE,4.0,5.602118820879701,True,False,False,True,1.6094379124341003,True,4.787491742782046,5.298317366548036,False,B,to_renovate,3.0,625000.0
1969,6,1300,HOUSE,HOUSE,4.0,5.6937321388027,True,False,False,True,3.871201010907891,True,6.309918278226516,6.504288173536645,True,W,good,3.0,649000.0
1970,6,1150,HOUSE,HOUSE,4.0,5.298317366548036,True,False,False,True,2.995732273553991,False,0.0,5.480638923341991,False,B,good,3.0,695000.0
1971,6,8790,HOUSE,MANSION,4.0,5.662960480135946,True,False,False,True,0.0,False,0.0,6.502790045915623,False,F,good,2.0,698000.0
1972,6,1190,HOUSE,TOWN_HOUSE,6.0,5.8522024797744745,True,False,True,True,0.0,True,3.9889840465642745,5.111987788356544,False,B,good,3.0,745000.0
1973,6,1640,HOUSE,VILLA,5.0,5.598421958998375,True,False,True,True,3.912023005428146,True,6.907755278982137,7.1853870155804165,False,F,good,4.0,850000.0
1974,6,1600,HOUSE,EXCEPTIONAL_PROPERTY,7.0,5.869296913133774,True,True,False,True,0.0,True,8.85366542803745,8.918650278126863,False,F,to_renovate,4.0,895000.0
